agencyCode,agencyName,budgetAccountCode,budgetAccountName,fiscalYear,fundingType,amount
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2023,"Budget Authority",5.94
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2023,"Funding Total",5.94
006,"Department of Commerce",006-60-8233,"Public Safety Trust Fund",2023,"CIO Authority",0
006,"Department of Commerce",006-60-8233,"Public Safety Trust Fund",2023,"Budget Authority",0
006,"Department of Commerce",006-60-8233,"Public Safety Trust Fund",2023,"Funding Total",0
006,"Department of Commerce",006-40-0201,"Minority Business Development",2023,"CIO Authority",1.453841
006,"Department of Commerce",006-40-0201,"Minority Business Development",2023,"Budget Authority",3.293268
006,"Department of Commerce",006-40-0201,"Minority Business Development",2023,"Funding Total",3.275422
006,"Department of Commerce",006-60-0554,"Broadband Technology Opportunities Program, Recovery Act",2023,"CIO Authority",0
006,"Department of Commerce",006-60-0554,"Broadband Technology Opportunities Program, Recovery Act",2023,"Budget Authority",0
006,"Department of Commerce",006-60-0554,"Broadband Technology Opportunities Program, Recovery Act",2023,"Funding Total",0
006,"Department of Commerce",006-60-4358,"Network Construction Fund",2023,"CIO Authority",0
006,"Department of Commerce",006-60-4358,"Network Construction Fund",2023,"Budget Authority",0
006,"Department of Commerce",006-60-4358,"Network Construction Fund",2023,"Funding Total",0
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2023,"CIO Authority",3.060641
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2023,"Budget Authority",3
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2023,"Funding Total",7.499
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2023,"CIO Authority",0
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2023,"Budget Authority",0
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2023,"Funding Total",97.427465
006,"Department of Commerce",006-55-0520,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2023,"CIO Authority",0
006,"Department of Commerce",006-55-0520,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2023,"Budget Authority",0
006,"Department of Commerce",006-55-0520,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2023,"Funding Total",1.928718
006,"Department of Commerce",006-06-2050,"Economic Development Assistance Programs",2023,"CIO Authority",0
006,"Department of Commerce",006-06-2050,"Economic Development Assistance Programs",2023,"Budget Authority",0
006,"Department of Commerce",006-06-2050,"Economic Development Assistance Programs",2023,"Funding Total",5.566663
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2024,"CIO Authority",21.777476
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2024,"Budget Authority",21.777476
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2024,"Funding Total",24.074414
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2024,"CIO Authority",19.1355
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2024,"Budget Authority",642.745533
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2024,"Funding Total",710.006152
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2024,"CIO Authority",114.382131
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2024,"Budget Authority",19323.748536
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2024,"Funding Total",140.576989
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2024,"CIO Authority",117.921007
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2024,"Budget Authority",117.921007
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2024,"Funding Total",122.091641
006,"Department of Commerce",006-40-0201,"Minority Business Development",2024,"CIO Authority",1.51175
006,"Department of Commerce",006-40-0201,"Minority Business Development",2024,"Budget Authority",1.51175
006,"Department of Commerce",006-40-0201,"Minority Business Development",2024,"Funding Total",3.394309
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2024,"CIO Authority",16.44867
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2024,"Budget Authority",15.03908
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2024,"Funding Total",30.453165
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2024,"CIO Authority",457.144967
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2024,"Budget Authority",457.144967
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2024,"Funding Total",374.417175
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2024,"CIO Authority",745.133935
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2024,"Budget Authority",745.133935
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2024,"Funding Total",759.581876
006,"Department of Commerce",006-25-1250,"Operations and Administration",2024,"CIO Authority",71.557557
006,"Department of Commerce",006-25-1250,"Operations and Administration",2024,"Budget Authority",71.557557
006,"Department of Commerce",006-25-1250,"Operations and Administration",2024,"Funding Total",71.852145
006,"Department of Commerce",006-55-0520,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2024,"CIO Authority",1.0787
006,"Department of Commerce",006-55-0520,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2024,"Budget Authority",1.0787
006,"Department of Commerce",006-55-0520,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2024,"Funding Total",12.71586
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2024,"CIO Authority",18.563008
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2024,"Budget Authority",18.563008
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2024,"Funding Total",30.30199
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2024,"CIO Authority",12.057096
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2024,"Budget Authority",1884.083591
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2024,"Funding Total",21.01386
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2024,"CIO Authority",9.114
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2024,"Budget Authority",31.114
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2024,"Funding Total",31.114
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2024,"CIO Authority",100.635574
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2024,"Budget Authority",40953.8922
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2024,"Funding Total",73.879852
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2024,"CIO Authority",97.302151
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2024,"Budget Authority",97.302151
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2024,"Funding Total",93.762267
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2024,"CIO Authority",0.976293
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2024,"Budget Authority",0.976293
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2024,"Funding Total",0.976293
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2024,"CIO Authority",334.605735
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2024,"Budget Authority",334.605739
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2024,"Funding Total",343.905222
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2024,"CIO Authority",1.490985
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2024,"Budget Authority",1.490985
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2024,"Funding Total",1.580648
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2024,"CIO Authority",27.959239
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2024,"Budget Authority",3141.026056
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2024,"Funding Total",41.732244
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2024,"CIO Authority",39.403774
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2024,"Budget Authority",39.403774
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2024,"Funding Total",43.913738
006,"Department of Commerce",006-30-0300,"Operations and Administration",2024,"CIO Authority",29.500066
006,"Department of Commerce",006-30-0300,"Operations and Administration",2024,"Budget Authority",29.500066
006,"Department of Commerce",006-30-0300,"Operations and Administration",2024,"Funding Total",29.348743
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2024,"CIO Authority",5.94
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2024,"Budget Authority",5.94
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2024,"Funding Total",5.94
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2024,"CIO Authority",3.5
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2024,"Budget Authority",3.5
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2024,"Funding Total",3.5
006,"Department of Commerce",006-06-2050,"Economic Development Assistance Programs",2024,"CIO Authority",0
006,"Department of Commerce",006-06-2050,"Economic Development Assistance Programs",2024,"Budget Authority",0
006,"Department of Commerce",006-06-2050,"Economic Development Assistance Programs",2024,"Funding Total",7.369275
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2025,"CIO Authority",30.30199
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2025,"Budget Authority",30.30199
006,"Department of Commerce",006-60-4421,"First Responder Network Authority",2025,"Funding Total",27.123885
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2025,"CIO Authority",13.648534
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2025,"Budget Authority",677.113451
006,"Department of Commerce",006-48-1450,"Operations, Research, and Facilities",2025,"Funding Total",742.119073
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2025,"CIO Authority",111.017345
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2025,"Budget Authority",111.017345
006,"Department of Commerce",006-55-0500,"Scientific and Technical Research and Services",2025,"Funding Total",121.017345
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2025,"CIO Authority",751.323025
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2025,"Budget Authority",751.323025
006,"Department of Commerce",006-51-1006,"Salaries and Expenses",2025,"Funding Total",800.042922
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2025,"CIO Authority",64.540124
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2025,"Budget Authority",64.540124
006,"Department of Commerce",006-07-0401,"Current Surveys and Programs",2025,"Funding Total",56.39262
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2025,"CIO Authority",421.162717
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2025,"Budget Authority",399.586717
006,"Department of Commerce",006-07-0450,"Periodic Censuses and Programs",2025,"Funding Total",421.162717
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2025,"CIO Authority",24.232738
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2025,"Budget Authority",24.232738
006,"Department of Commerce",006-55-4650,"Working Capital Fund",2025,"Funding Total",24.299415
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2025,"CIO Authority",133.988242
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2025,"Budget Authority",133.988242
006,"Department of Commerce",006-05-4511,"Working Capital Fund",2025,"Funding Total",133.156567
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2025,"CIO Authority",13.296452
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2025,"Budget Authority",12.512794
006,"Department of Commerce",006-60-0550,"Salaries and Expenses",2025,"Funding Total",31.908818
006,"Department of Commerce",006-30-0300,"Operations and Administration",2025,"CIO Authority",33.469
006,"Department of Commerce",006-30-0300,"Operations and Administration",2025,"Budget Authority",33.469
006,"Department of Commerce",006-30-0300,"Operations and Administration",2025,"Funding Total",31.098743
006,"Department of Commerce",006-25-1250,"Operations and Administration",2025,"CIO Authority",72.879698
006,"Department of Commerce",006-25-1250,"Operations and Administration",2025,"Budget Authority",72.879698
006,"Department of Commerce",006-25-1250,"Operations and Administration",2025,"Funding Total",72.889875
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2025,"CIO Authority",343.478333
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2025,"Budget Authority",343.478333
006,"Department of Commerce",006-07-4512,"Census Working Capital Fund",2025,"Funding Total",343.475925
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2025,"CIO Authority",3.5
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2025,"Budget Authority",3.5
006,"Department of Commerce",006-55-0515,"Construction of Research Facilities",2025,"Funding Total",3.5
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2025,"CIO Authority",114.18716
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2025,"Budget Authority",114.18716
006,"Department of Commerce",006-48-1460,"Procurement, Acquisition and Construction",2025,"Funding Total",99.220698
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2025,"CIO Authority",43.690442
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2025,"Budget Authority",43.690442
006,"Department of Commerce",006-08-1500,"Salaries and Expenses",2025,"Funding Total",18.896551
006,"Department of Commerce",006-55-0520,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2025,"CIO Authority",4.218266
006,"Department of Commerce",006-55-0520,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2025,"Budget Authority",4.218266
006,"Department of Commerce",006-55-0520,"Creating Helpful Incentives to Produce Semiconductors (CHIPS) for America Fund",2025,"Funding Total",4.218266
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2025,"CIO Authority",13.189904
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2025,"Budget Authority",23.945274
006,"Department of Commerce",006-05-0120,"Salaries and Expenses",2025,"Funding Total",25.630087
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2025,"CIO Authority",0.995818
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2025,"Budget Authority",0.995818
006,"Department of Commerce",006-55-0525,"Industrial Technology Services",2025,"Funding Total",0.995818
006,"Department of Commerce",006-40-0201,"Minority Business Development",2025,"CIO Authority",1.43559
006,"Department of Commerce",006-40-0201,"Minority Business Development",2025,"Budget Authority",1.43559
006,"Department of Commerce",006-40-0201,"Minority Business Development",2025,"Funding Total",3.266515
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2025,"CIO Authority",40.757811
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2025,"Budget Authority",29.010581
006,"Department of Commerce",006-05-0133,"Nonrecurring Expenses Fund",2025,"Funding Total",29.126136
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2025,"CIO Authority",9.114
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2025,"Budget Authority",9.114
006,"Department of Commerce",006-54-4295,"NTIS Revolving Fund",2025,"Funding Total",31.114
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2025,"CIO Authority",7.919851
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2025,"Budget Authority",7.919851
006,"Department of Commerce",006-06-0125,"Salaries and Expenses",2025,"Funding Total",7.791571
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2025,"CIO Authority",6.571
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2025,"Budget Authority",6.571
006,"Department of Commerce",006-05-0126,"Office of the Inspector General",2025,"Funding Total",6.571
024,"Department of Homeland Security",024-58-0530,"Operations and Support",2022,"CIO Authority",0
024,"Department of Homeland Security",024-58-0530,"Operations and Support",2022,"Budget Authority",0
024,"Department of Homeland Security",024-58-0530,"Operations and Support",2022,"Funding Total",1684.849
024,"Department of Homeland Security",024-70-0702,"Disaster Relief Fund",2022,"CIO Authority",0
024,"Department of Homeland Security",024-70-0702,"Disaster Relief Fund",2022,"Budget Authority",0
024,"Department of Homeland Security",024-70-0702,"Disaster Relief Fund",2022,"Funding Total",32.063
024,"Department of Homeland Security",024-10-0100,"Operations and Support",2022,"CIO Authority",0
024,"Department of Homeland Security",024-10-0100,"Operations and Support",2022,"Budget Authority",0
024,"Department of Homeland Security",024-10-0100,"Operations and Support",2022,"Funding Total",339.061
024,"Department of Homeland Security",024-45-0550,"Operations and Support",2022,"CIO Authority",0
024,"Department of Homeland Security",024-45-0550,"Operations and Support",2022,"Budget Authority",0
024,"Department of Homeland Security",024-45-0550,"Operations and Support",2022,"Funding Total",825.358
024,"Department of Homeland Security",024-40-0400,"Operations and Support",2022,"CIO Authority",0
024,"Department of Homeland Security",024-40-0400,"Operations and Support",2022,"Budget Authority",0
024,"Department of Homeland Security",024-40-0400,"Operations and Support",2022,"Funding Total",212.295
